檔名,類型,放入資料夾,建議規格,中文 prompt,英文 prompt,建議工具
style_01.jpg,圖像・商業・廣告・商業淨白,images/,1280×720 JPG (16:9),"純白無縫背景,柔光箱影樓燈,極簡商業產品照,高調明亮,陰影乾淨利落","clean white seamless background, soft studio softbox lighting, minimal commercial product shot, high key, crisp shadows",Artlist / Higgsfield
style_02.jpg,圖像・商業・廣告・奢華質感,images/,1280×720 JPG (16:9),"黑金奢華氛圍,單一戲劇性聚光燈,深邃陰影,高級產品,光澤反射","luxury black and gold aesthetic, single dramatic spotlight, deep shadows, premium product, glossy reflection",Artlist / Higgsfield
style_03.jpg,圖像・商業・廣告・生活風格,images/,1280×720 JPG (16:9),"生活化場景,溫暖自然窗光,隨性抓拍,溫馨家居室內,真實日常時刻","lifestyle scene, warm natural window light, candid, cozy home interior, authentic everyday moment",Artlist / Higgsfield
style_04.jpg,圖像・商業・廣告・科技未來,images/,1280×720 JPG (16:9),"未來科技感,藍青冷色調,霓虹邊緣光,玻璃金屬反射,流線俐落","futuristic tech aesthetic, cyan and blue tones, neon rim light, glass and metal reflections, sleek",Artlist / Higgsfield
style_05.jpg,圖像・商業・廣告・美食特寫,images/,1280×720 JPG (16:9),"微距美食攝影,蒸氣升騰,水珠細節,淺景深,引人食慾,柔和側光","macro food photography, steam rising, water droplets, shallow depth of field, appetizing, soft side light",Artlist / Higgsfield
style_06.jpg,圖像・商業・廣告・極繽紛,images/,1280×720 JPG (16:9),"高飽和流行色,大膽撞色色塊,活潑俏皮,平面圖形背景,年輕氣息","vibrant pop colors, high saturation, bold color blocking, playful, flat graphic background, youthful",Artlist / Higgsfield
style_07.jpg,圖像・商業・廣告・北歐簡約,images/,1280×720 JPG (16:9),"北歐極簡,低飽和大地色,原木麻布質感,大量留白,寧靜柔和日光","scandinavian minimal, muted earth tones, wood and linen, lots of negative space, calm, soft daylight",Artlist / Higgsfield
style_08.jpg,圖像・商業・廣告・黑白經典,images/,1280×720 JPG (16:9),"經典黑白,高反差單色,細膩膠片顆粒,永恆優雅","classic black and white, high contrast monochrome, fine film grain, timeless, elegant",Artlist / Higgsfield
style_09.jpg,圖像・電影感・故事・電影膠片,images/,1280×720 JPG (16:9),"電影感寬銀幕,橙藍分級調色,35mm 膠片顆粒,鏡頭光暈,淺景深","cinematic anamorphic widescreen, teal and orange grade, 35mm film grain, lens flare, shallow depth",Artlist / Higgsfield
style_10.jpg,圖像・電影感・故事・黑色電影,images/,1280×720 JPG (16:9),"黑色電影風,百葉窗硬光陰影,低調照明,陰鬱神秘,強烈明暗對比","film noir, hard venetian blind shadows, low-key lighting, moody, dramatic chiaroscuro, mystery",Artlist / Higgsfield
